Year;Age;Team Value;transfer_expense;transfer_receive;same_number_of_players_percantage;"
domestic_balance";Forward_value;Goalkeper_value;last_year_champion;is_in_europe;comes_from_bottom;is_coach_champion;coach_age;is_coach_turkish;points_per_game
2019;28.2;39.45;4.51;5.26;0.38;0.5;1.75;3;0;0;0;0;45;1;1.29
2019;25.7;19.43;0.8;1.8;0.59;0.61;0.75;1.2;0;0;0;0;58;1;1.2
2019;25.8;29.5;2.11;0.68;0.38;0.46;2.5;1;0;0;0;0;44;1;1.2
2019;28.2;23.1;0;2;0.5;0.53;2;0.35;0;0;0;0;46;1;1.2
2019;27.7;21.08;0.8;0;0.28;0.54;1.25;0.6;0;0;1;0;50;1;1.17
2019;24.2;34.35;5.3;13.4;0.4;0.54;9;1.75;0;0;0;1;68;1;1.14
2019;26.01;19.25;2.54;0;0.49;0.54;0.9;0.75;0;0;0;0;44;1;1.11
2019;24.8;28.15;2.48;8.92;0.47;0.63;2;1.75;0;0;0;1;62;1;1.08
2019;27.4;16.03;2;0;0.29;0.51;0.85;1;0;0;1;0;52;1;1.02
2019;27.7;11.78;0;0.9;0.46;0.58;0.5;0.2;0;0;1;0;48;1;0.79
